# t_unix,bid,ask,last
1786860786.217,63009.5,63009.51,63009.5
1786860791.879,63009.5,63009.51,63009.5
1786860796.694,63009.5,63009.51,63009.5
1786860801.575,63009.5,63009.51,63009.5
1786860806.408,63009.5,63009.51,63009.5
1786860811.281,63009.5,63009.51,63009.5
1786860816.283,63009.5,63009.51,63009.5
1786860821.100,63009.5,63009.51,63009.5
1786860825.935,63009.5,63009.51,63009.5
1786860833.007,63009.5,63009.51,63009.5
1786860838.053,63009.5,63009.51,63009.51
1786860842.882,63009.5,63009.51,63009.51
1786860848.790,63009.5,63009.51,63009.51
1786860854.565,63009.5,63009.51,63009.51
1786860859.680,63009.5,63009.51,63009.51
1786860864.874,63009.5,63009.51,63009.51
1786860870.606,62984.42,62984.43,62990
1786860875.514,62984.42,62984.43,62990
1786860881.600,62984.42,62984.43,62984.42
1786860887.387,62984.42,62984.43,62984.42
1786860893.906,62984.42,62984.43,62984.42
1786860899.083,62984.42,62984.43,62984.42
1786860904.037,62984.42,62984.43,62984.43
1786860908.915,62984.42,62984.43,62984.42
1786860914.342,62984.42,62984.43,62984.42
1786860920.447,62984.42,62984.43,62984.42
1786860925.434,62984.42,62984.43,62984.42
1786860931.623,62984.42,62984.43,62984.42
1786860939.125,62984.42,62984.43,62984.42
1786860945.064,62984.42,62984.43,62984.42
1786860950.232,62984.42,62984.43,62984.42
1786860956.837,62984.42,62984.43,62984.43
1786860963.218,62984.42,62984.43,62984.43
1786860971.095,62984.42,62984.43,62984.43
1786860976.255,62984.42,62984.43,62984.43
1786860982.729,62984.42,62984.43,62984.43
1786860993.132,62984.42,62984.43,62984.43
1786860998.999,62984.42,62984.43,62984.43
1786861004.611,62984.42,62984.43,62984.43
1786861010.341,62984.42,62984.43,62984.43
1786861018.523,62984.42,62984.43,62984.43
1786861027.469,62984.42,62984.43,62984.43
1786861036.900,62984.42,62984.43,62984.43
1786861040.283,62984.42,62984.43,62984.43
1786861043.259,62984.42,62984.43,62984.43
1786861046.479,62984.42,62984.43,62984.43
1786861050.251,62984.42,62984.43,62984.43
1786861055.048,62984.42,62984.43,62984.43
1786861060.414,62984.42,62984.43,62984.43
1786861063.202,62984.42,62984.43,62984.42
1786861066.221,62984.42,62984.43,62984.42
1786861070.055,62984.42,62984.43,62984.43
1786861072.935,62984.42,62984.43,62984.43
1786861075.933,62984.42,62984.43,62984.43
1786861079.026,62984.42,62984.43,62984.43
1786861082.258,62984.42,62984.43,62984.43
1786861085.300,62984.42,62984.43,62984.43
1786861088.554,62984.42,62984.43,62984.43
1786861092.215,62984.42,62984.43,62984.43
1786861095.013,62984.42,62984.43,62984.43
1786861098.014,62984.42,62984.43,62984.43
1786861101.202,62984.42,62984.43,62984.43
1786861104.288,62984.42,62984.43,62984.43
1786861107.147,62984.42,62984.43,62984.43
1786861110.217,62984.42,62984.43,62984.43
1786861113.131,62984.42,62984.43,62984.43
1786861116.147,62984.42,62984.43,62984.43
1786861119.325,62984.42,62984.43,62984.43
1786861122.648,62987.48,62987.49,62987.49
1786861125.622,62987.48,62987.49,62987.49
1786861129.655,62987.48,62987.49,62987.49
1786861132.681,62987.48,62987.49,62987.49
1786861135.477,62987.48,62987.49,62987.49
1786861138.467,62987.48,62987.49,62987.49
1786861141.480,62987.48,62987.49,62987.49
1786861144.483,62987.48,62987.49,62987.49
1786861147.671,62987.48,62987.49,62987.49
1786861150.445,62987.48,62987.49,62987.49
1786861153.870,62987.47,62987.48,62987.49
1786861156.705,62984,62984.01,62982.36
1786861159.694,62984,62984.01,62984
1786861162.787,62984,62984.01,62984
1786861165.683,62984,62984.01,62984
1786861168.881,62984,62984.01,62984
1786861171.714,62984,62984.01,62984
1786861174.723,62984,62984.01,62984
1786861177.738,62984,62984.01,62984.01
1786861180.776,62984,62984.01,62984.01
1786861183.679,62984,62984.01,62984.01
1786861186.931,62984,62984.01,62984.01
1786861190.019,62984,62984.01,62984.01
1786861192.888,62984,62984.01,62984.01
1786861196.324,62984,62984.01,62984.01
1786861199.274,62984,62984.01,62984.01
1786861202.248,62984,62984.01,62984.01
1786861205.190,62984,62984.01,62984
1786861208.578,62984,62984.01,62984
1786861211.560,62984,62984.01,62984.01
1786861215.084,62984,62984.01,62984.01
1786861218.349,62984,62984.01,62984.01
1786861222.024,62984,62984.01,62984.01
1786861225.566,62984,62984.01,62984.01
1786861229.228,62984,62984.01,62984.01
1786861232.731,62984.01,62987.49,62984.01
1786861236.199,62987.42,62987.43,62984.01
1786861239.759,62987.42,62987.43,62984.01
1786861243.145,62987.42,62987.43,62984.01
1786861247.027,62987.42,62987.43,62984.01
1786861250.873,62987.42,62987.43,62987.42
1786861254.790,62987.42,62987.43,62987.42
1786861259.617,62987.42,62987.43,62987.42
1786861264.916,62987.42,62987.43,62987.42
