# t_unix,market,best_bid,best_bid_size,best_ask,best_ask_size
1786852019.761,btc_4h,0.97,473.0,0.986,420.0
1786852020.319,btc_1h,0.53,20.0,0.54,19.82
1786852022.643,btc_4h,0.97,473.0,0.986,420.0
1786852023.658,btc_1h,0.53,44.0,0.54,19.82
1786852025.702,btc_4h,0.97,473.0,0.986,420.0
1786852026.160,btc_1h,0.53,43.0,0.54,19.82
1786852028.584,btc_4h,0.97,473.0,0.986,420.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852031.642,btc_4h,0.97,473.0,0.986,420.0
1786852032.167,btc_1h,0.53,36.0,0.54,28.0
1786852034.724,btc_4h,0.97,473.0,0.986,420.0
1786852035.207,btc_1h,0.53,87.0,0.54,28.0
# error btc_4h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852038.047,btc_1h,0.54,8.0,0.55,15.94
1786852040.596,btc_4h,0.97,473.0,0.986,420.0
1786852041.173,btc_1h,0.53,87.0,0.55,22.08
1786852043.732,btc_4h,0.97,473.0,0.986,420.0
1786852044.450,btc_1h,0.53,36.0,0.55,53.08
1786852046.735,btc_4h,0.97,473.0,0.986,416.97
1786852047.276,btc_1h,0.53,20.0,0.55,329.08
1786852049.727,btc_4h,0.97,473.0,0.986,416.97
1786852050.286,btc_1h,0.53,20.0,0.55,304.46
1786852052.617,btc_4h,0.97,473.0,0.986,466.97
1786852053.242,btc_1h,0.53,86.0,0.55,304.46
1786852055.715,btc_4h,0.97,473.0,0.986,466.97
1786852056.327,btc_1h,0.54,16.0,0.55,269.22
1786852058.728,btc_4h,0.97,473.0,0.986,50.0
1786852059.252,btc_1h,0.55,39.0,0.56,98.94
1786852061.754,btc_4h,0.97,420.0,0.986,50.0
1786852062.369,btc_1h,0.54,52.0,0.56,98.94
1786852064.622,btc_4h,0.97,420.0,0.986,50.0
1786852065.103,btc_1h,0.54,20.0,0.55,47.0
1786852067.674,btc_4h,0.971,473.0,0.986,50.0
1786852068.206,btc_1h,0.55,31.0,0.56,563.94
1786852070.595,btc_4h,0.971,473.0,0.986,50.0
1786852071.035,btc_1h,0.55,8.0,0.56,413.94
1786852073.583,btc_4h,0.971,473.0,0.986,35.0
1786852074.145,btc_1h,0.54,87.0,0.56,413.94
1786852076.707,btc_4h,0.971,473.0,0.986,35.0
1786852077.711,btc_1h,0.54,48.0,0.56,365.25
1786852079.675,btc_4h,0.971,473.0,0.989,470.0
1786852080.240,btc_1h,0.55,21.0,0.57,220.0
1786852082.636,btc_4h,0.971,473.0,0.989,470.0
1786852083.147,btc_1h,0.56,39.0,0.57,535.0
1786852085.633,btc_4h,0.971,473.0,0.989,470.0
1786852086.188,btc_1h,0.56,5.0,0.57,385.0
1786852088.685,btc_4h,0.971,473.0,0.989,455.0
1786852089.202,btc_1h,0.56,5.0,0.57,535.0
1786852091.742,btc_4h,0.971,473.0,0.989,455.0
1786852092.247,btc_1h,0.56,41.0,0.57,315.0
# error btc_4h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852095.137,btc_1h,0.56,13.0,0.57,315.0
1786852097.596,btc_4h,0.971,473.0,0.989,455.0
1786852098.096,btc_1h,0.56,5.0,0.57,485.76
1786852100.643,btc_4h,0.971,473.0,0.989,455.0
1786852101.152,btc_1h,0.56,5.0,0.57,308.76
1786852103.642,btc_4h,0.971,473.0,0.989,455.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852106.709,btc_4h,0.973,51.0,0.989,455.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852109.600,btc_4h,0.973,471.0,0.989,455.0
1786852110.190,btc_1h,0.57,5.0,0.58,361.0
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_ILLEGAL_PARAMETER] sslv3 alert illegal parameter (_ssl.c:1081)>
1786852113.058,btc_1h,0.57,5.0,0.58,350.84
1786852115.715,btc_4h,0.973,471.0,0.989,50.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852118.673,btc_4h,0.973,471.0,0.989,23.73
1786852119.288,btc_1h,0.57,5.0,0.58,320.84
1786852121.679,btc_4h,0.973,471.0,0.989,23.73
1786852122.165,btc_1h,0.57,5.0,0.58,320.84
1786852124.725,btc_4h,0.973,471.0,0.989,23.73
1786852125.242,btc_1h,0.57,5.0,0.58,11.0
1786852127.612,btc_4h,0.973,471.0,0.989,23.73
1786852128.142,btc_1h,0.57,5.0,0.59,528.0
1786852130.638,btc_4h,0.973,471.0,0.989,23.73
1786852131.194,btc_1h,0.57,5.0,0.58,10.0
1786852133.676,btc_4h,0.973,471.0,0.989,23.73
1786852134.154,btc_1h,0.56,68.52,0.58,343.0
1786852136.712,btc_4h,0.973,471.0,0.989,23.73
1786852137.243,btc_1h,0.56,92.52,0.58,315.0
1786852139.786,btc_4h,0.973,471.0,0.989,23.73
1786852140.284,btc_1h,0.57,44.0,0.58,326.0
1786852142.602,btc_4h,0.973,471.0,0.99,220.25
