# t_unix,market,bid,bid_size,ask,ask_size
1786858915.477,bitcoin-up-or-down-august-16-2026-1am-et,0.19,25,0.2,166
1786858915.639,bitcoin-up-or-down-august-16-2026-1am-et-no,0.8,166,0.81,25
1786858915.817,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858915.989,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858916.147,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,364
1786858916.335,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,364,0.77,140
1786858916.529,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858916.767,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858916.940,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858917.111,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858917.284,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858917.458,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858917.627,btc-updown-15m-1786858200,0.76,2941.05,0.77,1163.39
1786858917.828,btc-updown-15m-1786858200-no,0.23,1163.39,0.24,2941.05
1786858918.058,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858918.262,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858918.487,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858918.653,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858918.830,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858919.006,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858919.189,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858919.366,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858919.534,bitcoin-up-or-down-august-16-2026-1am-et,0.18,94,0.19,25
1786858919.715,bitcoin-up-or-down-august-16-2026-1am-et-no,0.81,25,0.82,94
1786858919.888,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858920.066,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858920.239,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,354
1786858920.487,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,354,0.77,140
1786858920.751,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858920.946,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858921.113,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858921.289,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858921.516,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858921.797,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858921.994,btc-updown-15m-1786858200,0.75,2565.45,0.76,416.16
1786858922.173,btc-updown-15m-1786858200-no,0.24,416.16,0.25,80.37
1786858922.390,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,10
1786858922.663,solana-up-or-down-august-16-2026-1am-et-no,0.8,10,0.82,20
1786858922.847,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858923.015,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858923.188,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858923.356,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858923.544,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858923.722,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858923.900,bitcoin-up-or-down-august-16-2026-1am-et,0.18,78,0.2,207
1786858924.085,bitcoin-up-or-down-august-16-2026-1am-et-no,0.8,207,0.82,78
1786858924.313,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858924.581,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858924.934,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,359
1786858925.141,ethereum-up-or-down-august-16-2026-1am-et-no,0.76,359,0.77,140
1786858925.321,eth-updown-4h-1786852800,0.26,11,0.27,492
1786858925.482,eth-updown-4h-1786852800-no,0.73,492,0.74,11
1786858925.644,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786858925.804,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786858925.975,sol-updown-4h-1786852800,0.16,200,0.17,56
1786858926.160,sol-updown-4h-1786852800-no,0.83,56,0.84,200
1786858926.420,btc-updown-15m-1786858200,0.74,1983,0.75,24.84
1786858926.629,btc-updown-15m-1786858200-no,0.25,24.84,0.26,1983
1786858926.818,solana-up-or-down-august-16-2026-1am-et,0.18,20,0.2,60
1786858927.001,solana-up-or-down-august-16-2026-1am-et-no,0.8,60,0.82,20
1786858927.169,xrp-up-or-down-august-16-2026-1am-et,0.27,7,0.29,5
1786858927.333,xrp-up-or-down-august-16-2026-1am-et-no,0.71,5,0.73,7
1786858927.515,xrp-updown-4h-1786852800,0.24,50,0.25,67
1786858927.681,xrp-updown-4h-1786852800-no,0.75,67,0.76,50
1786858927.844,btc-updown-5m-1786860300,0.49,79.9,0.5,30
1786858928.010,btc-updown-5m-1786860300-no,0.5,30,0.51,79.9
1786858928.175,bitcoin-up-or-down-august-16-2026-1am-et,0.18,86,0.2,337
1786858928.337,bitcoin-up-or-down-august-16-2026-1am-et-no,0.8,337,0.82,86
1786858928.576,btc-updown-4h-1786852800,0.23,264.85,0.25,433
1786858928.741,btc-updown-4h-1786852800-no,0.75,433,0.77,264.85
1786858928.900,ethereum-up-or-down-august-16-2026-1am-et,0.23,140,0.24,364
